年度,省份,学校,录取批次,文/理（选科要求）,专业,录取最低分,省内排名,本一线（本科线）,本二线
2021,北京,北京工业大学,本科批,物理必选,软件工程（中外合作办学）（中外合作办学）,597,10859,400,本二
2021,北京,北京工业大学,本科批,不限,金融学（中外合作办学）（中外合作办学）,592,11858,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),化学生物学,592,11858,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),生物医学工程,600,10348,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),生物技术（实验班）,597,10859,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),环境科学与工程类,592,11858,400,本二
2021,北京,北京工业大学,本科批,物理必选,光电信息科学与工程,606,9197,400,本二
2021,北京,北京工业大学,本科批,物理必选,工业设计,596,11071,400,本二
2021,北京,北京工业大学,本科批,物理必选,建筑学,595,11275,400,本二
2021,北京,北京工业大学,本科批,物理必选,土木工程（茅以升班）,595,11275,400,本二
2021,北京,北京工业大学,本科批,物理必选,材料类（实验班）,595,11275,400,本二
2021,北京,北京工业大学,本科批,物理必选,信息管理与信息系统,605,9367,400,本二
2021,北京,北京工业大学,本科批,物理必选,应用物理学,604,9574,400,本二
2021,北京,北京工业大学,本科批,物理必选,电子信息工程（实验班）,619,7037,400,本二
2021,北京,北京工业大学,本科批,物理必选,电子信息工程,612,8147,400,本二
2021,北京,北京工业大学,本科批,物理必选,软件工程（实验班）,618,7202,400,本二
2021,北京,北京工业大学,本科批,物理必选,物联网工程,607,9032,400,本二
2021,北京,北京工业大学,本科批,物理必选,计算机科学与技术（实验班）,626,5895,400,本二
2021,北京,北京工业大学,本科批,不限,金融学,605,9367,400,本二
2021,北京,北京工业大学,本科批,不限,国际经济与贸易,602,9999,400,本二
2021,北京,北京工业大学,本科批,物理必选,电子信息工程（中外合作办学）（中外合作办学）,594,11476,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),新能源科学与工程（新能源和环科双学士学位）,599,10508,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),能源动力类,593,11658,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),生物技术（实验班）,597,10859,400,本二
2021,北京,北京工业大学,本科批,物理/化学(2选1),环境科学与工程类,592,11858,400,本二
2021,北京,北京工业大学,本科批,物理必选,大数据管理与应用,608,8860,400,本二
2021,北京,北京工业大学,本科批,物理必选,建筑学,595,11275,400,本二
2021,北京,北京工业大学,本科批,物理必选,土木工程（茅以升班）,595,11275,400,本二
2021,北京,北京工业大学,本科批,物理必选,智能建造,596,11071,400,本二
2021,北京,北京工业大学,本科批,物理必选,土木类,595,11275,400,本二
2021,北京,北京工业大学,本科批,物理必选,机械类,600,10348,400,本二
2021,北京,北京工业大学,本科批,物理必选,统计学,612,8147,400,本二
2021,北京,北京工业大学,本科批,物理必选,数学类,607,9032,400,本二
2021,北京,北京工业大学,本科批,物理必选,测控技术与仪器,605,9367,400,本二
2021,北京,北京工业大学,本科批,物理必选,机器人工程,607,9032,400,本二
2021,北京,北京工业大学,本科批,物理必选,自动化,609,8692,400,本二
2021,北京,北京工业大学,本科批,物理必选,通信工程,610,8522,400,本二
2021,北京,北京工业大学,本科批,物理必选,电子科学与技术（实验班）,614,7862,400,本二
2021,北京,北京工业大学,本科批,物理必选,人工智能,616,7542,400,本二
2021,北京,北京工业大学,本科批,物理必选,数字媒体技术,611,8329,400,本二
2021,北京,北京工业大学,本科批,物理必选,电子信息工程（实验班）,619,7037,400,本二
2021,北京,北京工业大学,本科批,物理必选,数字媒体技术,611,8329,400,本二
2021,北京,北京工业大学,本科批,物理必选,物联网工程,607,9032,400,本二
2021,北京,北京工业大学,本科批,物理必选,信息安全（实验班）,620,6861,400,本二
2021,北京,北京工业大学,本科批,不限,英语,599,10508,400,本二
2021,北京,北京工业大学,本科批,不限,社会学类,601,10168,400,本二
2021,北京,北京工业大学,本科批,不限,工商管理,601,10168,400,本二
2021,北京,北京工业大学,本科批,不限,国际经济与贸易,602,9999,400,本二
2021,北京,北京大学,本科批,物理必选,工科试验班类（含理论与应用力学、工程力学、航空航天工程、生物医学工程、材料科学与工程）,695,100,400,本二
2021,北京,北京大学,本科批,物理必选,理科试验班类（元培）（5300元，含数学类、物理学类、天文学、地球物理学类、心理学类、计算机类、电子信息类）,688,187,400,本二
2021,北京,北京大学,本科批,不限,英语（只招英语考生）,687,210,400,本二
2021,北京,北京大学,本科批,物理/化学(2选1),生物科学类（5300元，含生物科学、生物技术）,687,210,400,本二
2021,北京,北京大学,本科批,不限,哲学类（含哲学、宗教学、哲学（科技哲学与逻辑学方向））,686,233,400,本二
2021,北京,北京大学,本科批,不限,人文科学试验班（含艺术史论、戏剧与影视学类）,686,233,400,本二
2021,北京,北京大学,本科批,物理必选,计算机类（5300元，含计算机科学与技术、智能科学与技术）,685,248,400,本二
2021,北京,北京大学,本科批,物理必选,数学类（含数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,685,248,400,本二
2021,北京,北京大学,本科批,不限,工商管理类（含金融学、金融学（金融经济学）、会计学、市场营销）,685,248,400,本二
2021,北京,北京大学,本科批,不限,历史学类（含历史学（中国史）、世界史、外国语言与外国历史）,685,248,400,本二
2021,北京,北京大学,本科批,物理/化学(2选1),化学类（含化学、应用化学、应用化学（材料方向）、化学生物学）,685,248,400,本二
2021,北京,北京大学,本科批,不限,文科试验班类（元培）（5300元，含中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类）,683,304,400,本二
2021,北京,北京大学,本科批,物理必选,物理学类（含物理学、大气科学（大气与海洋））,681,350,400,本二
2021,北京,北京大学,本科批,不限,考古学,679,427,400,本二
2021,北京,北京大学,本科批,物理/化学(2选1),环境科学与工程类（含环境科学、环境工程、环境科学（环境管理））,679,427,400,本二
2021,北京,北京大学,本科批,物理/化学(2选1),环境科学（环境、生态、地理与资源环境）,679,427,400,本二
2021,北京,北京大学,本科批,不限,法学,679,427,400,本二
2021,北京,北京大学,本科批,不限,信息管理与信息系统,679,427,400,本二
2021,北京,北京大学,本科批,不限,经济学类（含经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,678,461,400,本二
2021,北京,北京大学,本科批,不限,社会学类（含社会学、社会工作）,678,461,400,本二
2021,北京,北京大学,本科批,不限,应用心理学,678,461,400,本二
2021,北京,北京大学,本科批,不限,城乡规划,678,461,400,本二
2021,北京,北京大学,本科批,不限,中国语言文学类（含汉语言文学、汉语言古典文献学）,678,461,400,本二
2021,北京,内蒙古大学,本科批,历史、地理(2科必选),历史学,579,14375,400,本二
2021,北京,内蒙古大学,本科批,思想政治必选,政治学、经济学与哲学,575,15169,400,本二
2021,北京,内蒙古大学,本科批,化学必选,化学工程与工艺,568,16600,400,本二
2021,北京,内蒙古大学,本科批,物理必选,数据科学与大数据技术,579,14375,400,本二
2021,北京,内蒙古大学,本科批,物理必选,电子信息类,580,14186,400,本二
2021,北京,内蒙古大学,本科批,不限,旅游管理,571,15983,400,本二
2021,北京,内蒙古大学,本科批,不限,英语,574,15389,400,本二
2021,北京,内蒙古大学,本科批,不限,纪检监察,577,14769,400,本二
2021,北京,内蒙古大学,本科批,历史/思想政治(2选1),法学,580,14186,400,本二
2021,北京,内蒙古大学,本科批,化学、生物(2科必选),生物技术,577,14769,400,本二
2021,北京,内蒙古大学,本科批,物理必选,物流管理,578,14548,400,本二
2021,北京,内蒙古大学,本科批,物理必选,金融学,574,15389,400,本二
2021,北京,内蒙古大学,本科批,不限,网络与新媒体,573,15594,400,本二
2021,北京,内蒙古大学,本科批,不限,纪检监察,577,14769,400,本二
2021,北京,大连海事大学,本科批,物理必选,交通运输类,591,12047,400,本二
2021,北京,大连海事大学,本科批,物理必选,电子信息类,594,11476,400,本二
2021,北京,大连海事大学,本科批,不限,法学,613,7999,400,本二
2021,北京,大连海事大学,本科批,不限,物流管理,605,9367,400,本二
2021,北京,大连海事大学,本科批,不限,经济学类,604,9574,400,本二
2021,北京,大连海事大学,本科批,物理必选,土木工程（中外合作办学）（中外合作办学）,582,13798,400,本二
2021,北京,大连海事大学,本科批,物理必选,机械设计制造及其自动化（中外合作办学）（中外合作办学）,583,13611,400,本二
2021,北京,大连海事大学,本科批,物理必选,电子信息工程（中外合作办学）（中外合作办学）,584,13397,400,本二
2021,北京,大连海事大学,本科批,物理必选,机械类,591,12047,400,本二
2021,北京,大连海事大学,本科批,物理必选,计算机类,593,11658,400,本二
2021,北京,大连海事大学,本科批,物理必选,交通运输类,591,12047,400,本二
2021,北京,大连海事大学,本科批,物理必选,电子信息类,594,11476,400,本二
2021,北京,大连海事大学,本科批,不限,法学,613,7999,400,本二
2021,北京,大连海事大学,本科批,不限,物流管理,605,9367,400,本二
2021,北京,大连海事大学,本科批,不限,经济学类,604,9574,400,本二
2021,北京,大连海事大学,本科批,物理必选,土木工程（中外合作办学）（中外合作办学）,582,13798,400,本二
2021,北京,大连海事大学,本科批,物理必选,机械设计制造及其自动化（中外合作办学）（中外合作办学）,583,13611,400,本二
